context,dim_type,dim_key,dim_weight
IMAE,code,137,1
IMAE,code,165,1
IMAE,code,118,1
IMAE,code,62,1
IMAE,code,147,1
IMAE,code,108,1
IMAE,code,136,1
IMAE,code,114,1
IMAE,code,203,1
IMAE,code,32,1
IMAE,code,167,1
IMAE,code,115,1
IMAE,code,428741008,1
IMAE,code,734154002,1
IMAE,code,429396009,1
IMAE,code,428931000,1
IMAE,code,734152003,1
IMAE,code,90651,1
IMAE,code,90650,1
IMAE,code,90649,1
IMAE,code,140611000119104,1
IMAE,code,99501000119107,1
IMAE,code,16300531000119107,1
IMAE,code,428570002,1
IMAE,code,390892002,1
IMAE,code,428271000124109,1
IMAE,code,90734,1
IMAE,code,90619,1
IMAE,code,90733,1
IMAE,code,428251000124104,1
IMAE,code,90715,1
IMAE,code,428281000124107,1
IMAE,code,428291000124105,1
IMAE,code,192711008,1
IMAE,code,192712001,1
IMAE,code,192710009,1
