context,dim_type,dim_key,dim_weight
IMAE,code,137,1
IMAE,code,165,1
IMAE,code,118,1
IMAE,code,62,1
IMAE,code,147,1
IMAE,code,108,1
IMAE,code,136,1
IMAE,code,114,1
IMAE,code,203,1
IMAE,code,32,1
IMAE,code,167,1
IMAE,code,115,1
IMAE,code,428741008,1
IMAE,code,734154002,1
IMAE,code,429396009,1
IMAE,code,428931000,1
IMAE,code,734152003,1
IMAE,code,90651,1
IMAE,code,90650,1
IMAE,code,90649,1
IMAE,code,140611000119104,1
IMAE,code,99501000119107,1
IMAE,code,16300531000119107,1
IMAE,code,428570002,1
IMAE,code,390892002,1
IMAE,code,428271000124109,1
IMAE,code,90734,1
IMAE,code,90619,1
IMAE,code,90733,1
IMAE,code,428251000124104,1
IMAE,code,90715,1
IMAE,code,428281000124107,1
IMAE,code,428291000124105,1
IMAE,code,192711008,1
IMAE,code,192712001,1
IMAE,code,192710009,1
BCSE,code,429009003,1
BCSE,code,137671000119105,1
BCSE,code,Z90.12,1
BCSE,code,137681000119108,1
BCSE,code,429242008,1
BCSE,code,Z90.11,1
BCSE,code,456903003,1
BCSE,code,85.48,1
BCSE,code,85.44,1
BCSE,code,27865001,1
BCSE,code,52314009,1
BCSE,code,870629001,1
BCSE,code,14714006,1
BCSE,code,76468001,1
BCSE,code,85.46,1
BCSE,code,22418005,1
BCSE,code,85.42,1
BCSE,code,14693006,1
BCSE,code,60633004,1
BCSE,code,17086001,1
BCSE,code,726636007,1
BCSE,code,836436008,1
BCSE,code,0HTV0ZZ,1
BCSE,code,50,1
BCSE,code,51440002,1
BCSE,code,7771000,1
BCSE,code,24028007,1
BCSE,code,359740003,1
BCSE,code,287654001,1
BCSE,code,359734005,1
BCSE,code,66398006,1
BCSE,code,318190001,1
BCSE,code,406505007,1
BCSE,code,395702000,1
BCSE,code,447421006,1
BCSE,code,384723003,1
BCSE,code,274957008,1
BCSE,code,359728003,1
BCSE,code,172043006,1
BCSE,code,447135002,1
BCSE,code,446420001,1
BCSE,code,446109005,1
BCSE,code,428564008,1
BCSE,code,70183006,1
BCSE,code,287653007,1
BCSE,code,237367009,1
BCSE,code,237368004,1
BCSE,code,359731002,1
